name,latitude,longitude,state_id,state_name,county_fips,population,density,timezone,entity_type,entity_subtype,page_views,is_test
Catahoula Parish,31.6662,-91.847,LA,Louisiana,22025.0,9117.0,,America/Chicago,county,,,False
Terrell County,31.777,-84.437,GA,Georgia,13273.0,9102.0,,America/New_York,county,,,False
Cloud County,39.4803,-97.6492,KS,Kansas,20029.0,9037.0,,America/Chicago,county,,,False
Cuming County,41.9164,-96.7874,NE,Nebraska,31039.0,9035.0,,America/Chicago,county,,,True
Palo Alto County,43.0821,-94.6781,IA,Iowa,19147.0,8996.0,,America/Chicago,county,,,False
Stillwater County,45.669,-109.3952,MT,Montana,30095.0,8916.0,,America/Denver,county,,,False
Alger County,46.4086,-86.604,MI,Michigan,26003.0,8911.0,,America/Detroit,county,,,False
Oregon County,36.6866,-91.4033,MO,Missouri,29149.0,8891.0,,America/Chicago,county,,,False
Dimmit County,28.4226,-99.7566,TX,Texas,48127.0,8840.0,,America/Chicago,county,,,False
Sublette County,42.7669,-109.9147,WY,Wyoming,56035.0,8830.0,,America/Denver,county,,,False
Monona County,42.0516,-95.9599,IA,Iowa,19133.0,8732.0,,America/Chicago,county,,,False
Woods County,36.7669,-98.8651,OK,Oklahoma,40151.0,8731.0,,America/Chicago,county,,,False
Modoc County,41.5898,-120.725,CA,California,6049.0,8723.0,,America/Los_Angeles,county,,,False
Jenkins County,32.7924,-81.9635,GA,Georgia,13165.0,8693.0,,America/New_York,county,,,False
Ritchie County,39.1783,-81.063,WV,West Virginia,54085.0,8676.0,,America/New_York,county,,,True
Quay County,35.1043,-103.5498,NM,New Mexico,35037.0,8675.0,,America/Denver,county,,,True
Ozark County,36.6493,-92.4447,MO,Missouri,29153.0,8664.0,,America/Chicago,county,,,True
Archer County,33.6153,-98.6877,TX,Texas,48009.0,8616.0,,America/Chicago,county,,,True
Mathews County,37.4354,-76.3436,VA,Virginia,51115.0,8548.0,,America/New_York,county,,,False
Kiowa County,34.9164,-98.9809,OK,Oklahoma,40075.0,8518.0,,America/Chicago,county,,,False
Trimble County,38.613,-85.3375,KY,Kentucky,21223.0,8502.0,,America/New_York,county,,,False
Jack County,33.2335,-98.1725,TX,Texas,48237.0,8494.0,,America/Chicago,county,,,False
Rosebud County,46.2297,-106.7307,MT,Montana,30087.0,8464.0,,America/Denver,county,,,True
Maries County,38.1616,-91.9249,MO,Missouri,29125.0,8457.0,,America/Chicago,county,,,False
Hickory County,37.9408,-93.3207,MO,Missouri,29085.0,8429.0,,America/Chicago,county,,,True
Bracken County,38.6888,-84.0901,KY,Kentucky,21023.0,8394.0,,America/New_York,county,,,False
Dawes County,42.7197,-103.1354,NE,Nebraska,31045.0,8383.0,,America/Denver,county,,,False
Coffey County,38.2369,-95.7341,KS,Kansas,20031.0,8361.0,,America/Chicago,county,,,False
Keith County,41.1988,-101.6615,NE,Nebraska,31101.0,8312.0,,America/Denver,county,,,False
Prairie County,34.8298,-91.5528,AR,Arkansas,5117.0,8306.0,,America/Chicago,county,,,False
